"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Penderyn Sherrywood","7.72","0.59","9","$$$$","SingleMalt-like","ABC","B","Wales","Malt"
"Penderyn Legend","7.49","0.88","4","$$$","SingleMalt-like","ABC","B","Wales","Malt"
"Ichiro's Malt The Joker","9.24","0.19","4","$$$$$+","SingleMalt-like","EF","F","Japan","Malt"
"Bunnahabhain 40yo","9.16","0.34","6","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"Glencadam 25yo","9.12","0.05","3","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Hibiki 21yo","9.11","0.25","8","$$$$$+","SingleMalt-like","EF","E","Japan","Blend"
"Midleton Dair Ghaelach","9.09","0.29","7","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"Amrut Double Cask","9.06","0.25","3","$$$$","SingleMalt-like","EF","E","India","Malt"
"Glenlivet Nadurra First Fill (White Oak)","9.06","0.29","3","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Cragganmore NAS (Special Release 2016)","9.05","0.32","4","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Cragganmore 25yo","9.04","0.05","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"GlenDronach 19yo Madeira Finish","9.04","0.35","3","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Compass Box 3yo Deluxe","9.03","0.21","6","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"Midleton Barry Crocket Legacy","9.03","0.18","6","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"Redbreast 12yo Cask Strength","9.03","0.31","16","$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Tomatin Decades","8.96","0.52","8","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Yamazaki Mizunara","8.95","0.21","8","$$$$$+","SingleMalt-like","EF","E","Japan","Malt"
"Arran Malt 18yo","8.94","0.13","13","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Aultmore 25yo","8.92","0.24","3","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Amrut Herald","8.91","0.15","6","$$$$","SingleMalt-like","EF","E","India","Malt"
"Glen Grant 25yo","8.90","0.19","3","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan Edition No. 2","8.90","0.13","7","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Amrut Fusion","8.89","0.26","23","$$$$","SingleMalt-like","EF","E","India","Malt"
"Arran Malt The Devil’s Punch Bowl (all chapters)","8.89","0.30","9","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenmorangie Ealanta","8.89","0.29","14","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"Arran Malt Bourbon Single Cask","8.88","0.20","9","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Kavalan Solist Ex-Bourbon","8.87","0.24","17","$$$$$","SingleMalt-like","EF","E","Taiwan","Malt"
"Arran Malt 17yo","8.85","0.25","10","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Compass Box Spice Tree Extravaganza","8.84","0.28","7","$$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Auchentoshan 21yo","8.83","0.26","12","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Kininvie 17yo (all batches)","8.83","0.33","9","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Nikka From the Barrel","8.83","0.39","21","$$$","SingleMalt-like","EF","F","Japan","Blend"
"Old Pulteney 17yo","8.83","0.27","17","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"BenRiach 25yo","8.82","0.46","13","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet 21yo Archive (all batches)","8.82","0.31","12","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 18yo Fine Oak","8.82","0.31","12","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan Edition No. 1","8.82","0.50","7","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Nikka Coffey Malt","8.82","0.43","9","$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Midleton Very Rare (all vintages)","8.81","0.50","11","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"Strathmill 25yo","8.81","0.40","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Amrut Two Continents","8.80","0.45","12","$$$$","SingleMalt-like","EF","E","India","Malt"
"Arran Malt Tokaji Aszu Wine Finish","8.80","0.37","4","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Compass Box Spice Tree","8.80","0.33","19","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Aberfeldy 21yo","8.78","0.21","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Clynelish 14yo","8.78","0.27","15","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glen Grant Five Decades","8.78","0.22","6","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Nikka Taketsuru 17yo","8.76","0.26","12","$$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Redbreast 12yo","8.76","0.41","21","$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Amrut Bourbon Single Cask","8.75","0.32","12","$$$$","SingleMalt-like","EF","E","India","Malt"
"Glenfiddich 19yo Age of Discovery (Bourbon Cask)","8.75","0.29","8","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich Cask of Dreams","8.75","0.23","7","$$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Mackmyra Special 04","8.75","0.37","8","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Royal Brackla 16yo","8.75","0.24","5","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Redbreast 15yo","8.74","0.26","13","$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Hakushu 18yo","8.73","0.32","8","$$$$$","SingleMalt-like","EF","F","Japan","Malt"
"Mortlach Special Strength","8.72","0.60","5","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt Napoleon Cognac Finish","8.71","0.71","5","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Compass Box Oak Cross","8.71","0.35","12","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glenfiddich 15yo Distillers Edition","8.71","0.31","12","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Hibiki 17yo","8.71","0.30","14","$$$$$","SingleMalt-like","EF","E","Japan","Blend"
"Mortlach 18yo","8.71","0.60","10","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Balcones Texas Single Malt Whisky","8.68","0.34","10","$$$$","SingleMalt-like","EF","E","USA","Malt"
"Balvenie 25yo Single Barrel","8.68","0.93","3","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Glenmorangie 18yo ""Extremely Rare""","8.68","0.32","14","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Ichiro's Malt Double Distilleries","8.67","0.26","6","$$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Glenlivet Cipher","8.66","0.37","5","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Garioch 12yo","8.65","0.32","14","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"AnCnoc 18yo","8.64","0.37","8","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Yamazaki Distiller's Reserve","8.64","0.3","5","$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Bruichladdich Black Art 4 1990","8.62","0.61","6","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Glenrothes Vintage 1995 (all bottlings)","8.62","0.26","14","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Balvenie 12yo Single Barrel","8.61","0.33","11","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet 18yo","8.61","0.21","20","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenrothes Vintage Reserve (NAS)","8.61","0.18","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Kilkerran Work in Progress Sherry Wood","8.61","0.33","9","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Caol Ila 17yo unpeated","8.60","0.53","6","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Copperworks American Single Malt","8.59","0.24","4","$$$","SingleMalt-like","EF","E","USA","Malt"
"Glenfiddich 14yo Rich Oak","8.59","0.33","9","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 12yo Double Cask","8.59","0.40","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bunnahabhain 12yo","8.58","0.30","17","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glenfiddich 18yo","8.57","0.38","17","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Kininvie 23yo (all batches)","8.57","0.33","8","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Westland American Single Malt","8.57","0.36","11","$$$$","SingleMalt-like","EF","E","USA","Malt"
"Craigellachie 17yo","8.55","0.24","7","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Deveron 18yo","8.55","0.63","3","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Sullivans Cove American Oak","8.55","0.28","4","$$$$$","SingleMalt-like","EF","E","Tasmania","Malt"
"Tyrconnell 10yo Madeira Cask Finish","8.55","0.39","10","$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Nikka Pure Malt Red","8.53","0.34","9","$$$","SingleMalt-like","EF","E","Japan","Malt"
"Sullivans Cove Bourbon Cask Strength","8.53","0.78","6","$$$$","SingleMalt-like","EF","F","Tasmania","Malt"
"Arran Malt Sauternes Finish","8.52","0.32","11","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 21yo Fine Oak","8.52","0.40","6","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Grant 16yo","8.51","0.31","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Benromach Organic","8.50","0.50","13","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Balvenie 14yo Carribean Cask","8.48","0.34","17","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Green Spot","8.47","0.39","16","$$$","SingleMalt-like","EF","F","Ireland","Malt"
"Glengoyne 17yo","8.45","0.20","11","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mortlach Rare Old","8.45","0.42","12","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Nikka All Malt","8.45","0.16","8","$$","SingleMalt-like","EF","E","Japan","Malt"
"Sullivans Cove Port Cask Strength","8.45","0.60","7","$$$$$","SingleMalt-like","EF","E","Tasmania","Malt"
"Dalmore 12yo","8.44","0.26","17","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Elgin 12yo","8.43","0.22","13","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich 14yo Bourbon Barrel Reserve","8.43","0.17","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Old Pulteney 12yo","8.43","0.27","23","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"GlenDronach 8yo The Hielan","8.40","0.39","9","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bunnahabhain Darach Ur","8.39","0.32","10","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Macallan 15yo Fine Oak","8.39","0.52","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet 15yo French Oak","8.38","0.25","17","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Auchentoshan 18yo","8.37","0.36","12","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Craigellachie 14yo","8.37","0.28","6","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"BenRiach 12yo Horizons","8.36","0.30","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Special 08","8.36","0.30","3","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Deveron 12yo","8.35","0.32","5","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Grant 18yo","8.35","0.90","4","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Nikka Taketsuru 12yo","8.35","0.36","17","$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Tomatin 15yo","8.34","0.52","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Cragganmore 12yo","8.33","0.35","15","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenrothes Vintage 1998 (2014)","8.32","0.61","10","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Monkey Shoulder","8.32","0.40","16","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Teeling Whiskey Small Batch (Rum Cask Finish)","8.32","0.43","19","$$","SingleMalt-like","EF","E","Ireland","Blend"
"Tullibardine 225 Sauternes Finish","8.31","0.37","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 1824 Amber","8.30","0.39","12","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Wemyss Malts Smooth Gentleman","8.3","0.08","3","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Auchentoshan 12yo","8.29","0.26","21","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Breton 21yo","8.29","0.44","3","$$$$$","SingleMalt-like","EF","E","Canada","Malt"
"Old Pulteney Navigator","8.29","0.41","10","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Scapa 16yo","8.29","0.27","14","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bunnahabhain Eirigh Na Greine","8.28","0.46","6","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glen Ord Singleton of Glen Ord 12yo","8.28","0.28","5","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Sullivans Cove Double Cask","8.28","0.53","13","$$$$","SingleMalt-like","EF","E","Tasmania","Malt"
"Stalk & Barrel Single Malt (All Casks)","8.27","0.40","12","$$$","SingleMalt-like","EF","F","Canada","Malt"
"Glenrothes Elders' Reserve","8.26","0.72","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich Sherry Classic","8.25","0.85","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Deanston 18yo (Bourbon Finish)","8.25","0.27","4","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 10yo Fine Oak","8.24","0.31","17","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Royal Brackla 12yo","8.24","0.50","11","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tobermory 10yo","8.23","0.42","20","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Tomintoul 12yo Oloroso Sherry","8.23","0.56","10","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Strathisla 12yo","8.21","0.31","13","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt Robert Burns Single Malt","8.20","0.56","7","$$","SingleMalt-like","EF","F","Scotland","Malt"
"Tullibardine 1993 Sauternes","8.20","0.33","5","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenrothes Vintage 2001 (all bottlings)","8.19","0.61","9","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Aberfeldy 12yo","8.17","0.32","17","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Edradour 10yo","8.14","0.73","13","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Moray 10yo Chardonnay Cask","8.14","0.61","8","$$","SingleMalt-like","EF","F","Scotland","Malt"
"BenRiach 15yo Sauternes Finish","8.13","0.51","3","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glen Garioch Virgin Oak","8.12","0.50","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Knappogue Castle 14yo Twin Wood","8.12","0.69","4","$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Dalmore Valour","8.11","0.34","8","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Auchroisk 10yo (F&F)","8.10","0.18","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Teaninich 10yo (F&F)","8.09","0.22","3","","SingleMalt-like","EF","F","Scotland","Malt"
"Deanston 12yo","8.08","0.44","13","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Miltonduff 10yo (F&F)","8.08","0.46","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet 12yo","8.06","0.29","20","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tullibardine 228 Burgundy Finish","8.06","0.38","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glendullan Singleton of Glendullan 12yo","8.05","0.42","13","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Gouden Carolus Single Malt","8.04","0.22","3","$$$$","SingleMalt-like","EF","E","Belgium","Malt"
"Dufftown Singleton of Dufftown 12yo","8.01","0.53","9","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Nikka Super","8.01","0.49","7","$$$","SingleMalt-like","EF","E","Japan","Malt"
"Tullamore Dew 10yo Single Malt","8.01","0.81","6","$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Glenburgie 10yo (Gordon & MacPhail)","7.97","0.44","7","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glen Deveron 10yo (Macduff)","7.96","0.40","5","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet Founder's Reserve","7.93","0.45","12","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Millstone 8yo French Oak","7.92","0.70","4","$$$$","SingleMalt-like","EF","E","Netherlands","Malt"
"The Irishman Single Malt (NAS)","7.90","0.24","4","$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Glen Moray 12yo Chenin Blanc","7.88","0.75","6","$$","SingleMalt-like","EF","F","Scotland","Malt"
"Tomatin 12yo","7.87","0.58","16","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenrothes Select Reserve","7.84","0.33","13","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Scapa Skiren","7.78","0.54","9","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Penderyn Aur Cymru","7.72","0.58","8","$$$$","SingleMalt-like","EF","E","Wales","Malt"
"Speyside 10yo","7.70","0.66","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Moray 16yo Chenin Blanc","7.61","0.54","4","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"McClelland's Speyside Single Malt","6.71","0.48","6","$$","SingleMalt-like","EF","F","Scotland","Malt"
"Bruichladdich Laddie Ten (Second Edition)","8.99","0.15","5","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Kirin 18yo (Fuji Sanroku)","8.94","0.55","3","$$$$$+","SingleMalt-like","GH","G","Japan","Malt"
"Kilkerran 12yo","8.91","0.20","11","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Teeling Silver Reserve 21yo Sauternes Finish","8.91","0.33","10","$$$$$","SingleMalt-like","GH","H","Ireland","Malt"
"BenRiach Cask Strength","8.87","0.10","5","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Bruichladdich Laddie Twenty Two","8.86","0.24","10","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Compass Box Enlightenment","8.86","0.20","4","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glencadam 21yo","8.85","0.25","12","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Balvenie 15yo Single Barrel (Cask)","8.84","0.23","22","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Laddie Ten","8.83","0.31","15","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Breton Ice 17yo","8.83","0.12","3","$$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Arran Malt Orkney Bere Barley","8.82","0.32","8","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glencadam 30yo","8.81","0.20","3","$$$$$+","SingleMalt-like","GH","H","Scotland","Malt"
"Glenmorangie Tusail","8.81","0.32","10","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Benromach 5yo","8.80","0.18","4","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mackinlay 'Shackleton' Rare Old Highland Malt Whisky","8.80","0.36","17","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Macallan 17yo Fine Oak","8.79","0.54","9","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Yamazaki Bourbon Barrel","8.79","0.23","9","$$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Kilkerran Work in Progress Bourbon Wood","8.78","0.42","10","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Old Pulteney 21yo","8.77","0.49","15","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Bruichladdich Laddie Sixteen","8.76","0.22","12","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Hakushu 10yo","8.76","0.27","4","$$$","SingleMalt-like","GH","H","Japan","Malt"
"Kavalan Podium","8.75","0.37","6","$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"Glenfiddich 26yo Excellence","8.72","0.45","6","$$$$$+","SingleMalt-like","GH","G","Scotland","Malt"
"Hakushu 12yo","8.71","0.21","17","$$$$","SingleMalt-like","GH","H","Japan","Malt"
"Arran Malt 14yo","8.69","0.27","19","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Dalwhinnie 15yo","8.69","0.34","18","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"AnCnoc 16yo","8.68","0.34","12","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Inchgower 14yo (F&F)","8.67","0.47","7","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tullibardine 20yo","8.67","0.29","4","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Arran Malt 12yo Cask Strength (all editions)","8.66","0.39","12","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Yamazaki Puncheon","8.65","0.23","10","$$$$$","SingleMalt-like","GH","G","Japan","Malt"
"AnCnoc 12yo","8.64","0.33","17","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Mackmyra The First Edition Swedish Whisky","8.64","0.37","17","$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Westland Garryana","8.64","0.08","4","$$$$$","SingleMalt-like","GH","G","USA","Malt"
"Stronachie 18yo","8.62","0.28","5","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Yamazaki 12yo","8.62","0.28","21","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Hibiki 12yo","8.61","0.25","19","$$$$","SingleMalt-like","GH","G","Japan","Blend"
"Linkwood 12yo (F&F)","8.59","0.36","6","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"BenRiach 10yo","8.58","0.13","8","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Ichiro's Malt Chichibu The Floor Malted","8.58","0.26","4","$$$$$+","SingleMalt-like","GH","G","Japan","Malt"
"Longrow 10yo","8.58","0.40","12","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Kilkerran Work in Progress","8.57","0.32","14","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Caol Ila 15yo Unpeated","8.54","0.40","8","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Breton Battle of the Glen 15yo","8.53","0.27","7","$$$$$","SingleMalt-like","GH","G","Canada","Malt"
"GlenDronach 14yo Virgin Oak","8.52","0.33","10","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Arran Malt 10yo","8.50","0.30","20","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Knappogue Castle 12yo","8.50","0.39","12","$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Glenmorangie 10yo ""Original""","8.49","0.46","23","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Ichiro's Malt Chichibu The First","8.49","0.37","12","$$$$$+","SingleMalt-like","GH","G","Japan","Malt"
"Macallan 12yo Fine Oak","8.49","0.41","14","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tomatin Cu Bocan Virgin Oak Edition","8.49","0.50","3","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Aultmore 18yo","8.48","0.27","4","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Nikka Miyagikyo NAS","8.47","0.37","5","$$$$","SingleMalt-like","GH","H","Japan","Malt"
"Sheep Dip Blended Malt","8.47","0.32","11","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glencadam 10yo","8.46","0.47","10","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Yamazaki NAS","8.46","0.22","6","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"FEW Single Malt","8.45","0.53","6","$$$$","SingleMalt-like","GH","G","USA","Malt"
"Glencadam 15yo","8.45","0.42","10","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"AnCnoc Peter Arkle (all releases)","8.43","0.28","8","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"BenRiach 12yo","8.43","0.25","14","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Amrut Indian Single Malt","8.42","0.47","14","$$$","SingleMalt-like","GH","G","India","Malt"
"Aultmore 12yo","8.42","0.23","8","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Bruichladdich Laddie Classic (Edition 01)","8.42","0.57","6","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Kavalan Single Malt Whisky","8.42","0.50","17","$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"Craigellachie 13yo","8.41","0.40","12","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenkinchie Distiller's Edition (all editions)","8.41","0.27","13","$$$$","SingleMalt-like","GH","B","Scotland","Malt"
"Kavalan King Car Conductor","8.41","0.37","8","$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"Talisker Skye","8.41","0.29","11","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Benromach Traditional","8.40","0.46","11","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Wemyss Malts The Hive","8.4","0.21","13","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenrothes Alba Reserve","8.39","0.15","8","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Balblair 2000","8.38","0.32","9","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Hibiki Harmony","8.38","0.60","15","$$$$","SingleMalt-like","GH","G","Japan","Blend"
"Tomatin Cask Strength","8.38","0.47","9","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Hazelburn 8yo (Springbank)","8.37","0.39","11","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Strathmill 12yo","8.37","0.28","3","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Classic Laddie Scottish Barley","8.36","0.41","8","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Garioch Founder's Reserve","8.35","0.38","16","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Grant 12yo","8.35","0.65","5","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glenfiddich 1963 Original Malt","8.33","0.42","5","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tomintoul 16yo","8.30","0.43","14","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Cardhu Amber Rock","8.29","0.27","4","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glen Grant 10yo","8.29","0.49","8","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Hakushu NAS","8.29","0.39","5","","SingleMalt-like","GH","H","Japan","Malt"
"Highland Park Harald","8.29","0.40","12","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
